Treatment,target,differentia,policy,condition,score,dist_fun,Tree Comparison Metric,Num Column Bits,Num Differentia Bits
differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,1,TDPR,lexicase,0.61765009,info,Mutual Clustering Information,4096,1
differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,1,TDPR,random,0.535141,cid,Clustering Information Distance,4096,1
differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,1,TDPR,ecoea,0.76066297,cid,Clustering Information Distance,4096,1
differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,1,TDPR,sharing,0.3877124,cid,Clustering Information Distance,4096,1
differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,1,TDPR,tournament,1.0,cid,Clustering Information Distance,4096,1
differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,1,TDPR,lexicase,0.41731754,cid,Clustering Information Distance,4096,1
differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,1,TDPR,random,0.5263896,rf,Generalized Robinson-Foulds Similarity,4096,1
differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,1,TDPR,ecoea,0.11906405,rf,Generalized Robinson-Foulds Similarity,4096,1
differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,1,TDPR,sharing,0.56819923,rf,Generalized Robinson-Foulds Similarity,4096,1
differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,1,TDPR,tournament,0.0,rf,Generalized Robinson-Foulds Similarity,4096,1
differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,1,TDPR,lexicase,0.67174145,rf,Generalized Robinson-Foulds Similarity,4096,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,random,0.50245234,info,Mutual Clustering Information,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,ecoea,0.69076868,info,Mutual Clustering Information,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,sharing,0.70076968,info,Mutual Clustering Information,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,tournament,,info,Mutual Clustering Information,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,lexicase,0.61765009,info,Mutual Clustering Information,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,random,0.53611693,cid,Clustering Information Distance,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,ecoea,0.78313215,cid,Clustering Information Distance,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,sharing,0.44765528,cid,Clustering Information Distance,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,tournament,1.0,cid,Clustering Information Distance,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,lexicase,0.41731754,cid,Clustering Information Distance,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,random,0.52564843,rf,Generalized Robinson-Foulds Similarity,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,ecoea,0.12010034,rf,Generalized Robinson-Foulds Similarity,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,sharing,0.52078196,rf,Generalized Robinson-Foulds Similarity,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,tournament,0.0,rf,Generalized Robinson-Foulds Similarity,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,1,TDPR,lexicase,0.67174145,rf,Generalized Robinson-Foulds Similarity,512,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,random,0.53252454,info,Mutual Clustering Information,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,ecoea,0.68352682,info,Mutual Clustering Information,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,sharing,0.57941904,info,Mutual Clustering Information,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,tournament,,info,Mutual Clustering Information,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,lexicase,0.58129219,info,Mutual Clustering Information,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,random,0.55056055,cid,Clustering Information Distance,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,ecoea,0.84394104,cid,Clustering Information Distance,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,sharing,0.62262967,cid,Clustering Information Distance,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,tournament,1.0,cid,Clustering Information Distance,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,lexicase,0.45878823,cid,Clustering Information Distance,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,random,0.50801107,rf,Generalized Robinson-Foulds Similarity,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,ecoea,0.10518887,rf,Generalized Robinson-Foulds Similarity,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,sharing,0.38504625,rf,Generalized Robinson-Foulds Similarity,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,tournament,0.0,rf,Generalized Robinson-Foulds Similarity,64,1
differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,1,TDPR,lexicase,0.62011447,rf,Generalized Robinson-Foulds Similarity,64,1
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,random,0.55033495,info,Mutual Clustering Information,4096,64
