Tree Comparison Metric,condition,policy,Num Column Bits,1,8,64,sign
Mutual Clustering Information,random,RPR,64,0.50890079,0.5767782,0.5767782,True
Mutual Clustering Information,random,RPR,512,0.54839495,0.55033495,0.5767782,True
Mutual Clustering Information,random,RPR,4096,0.53078963,0.55033495,0.55033495,True
Mutual Clustering Information,random,TDPR,64,0.53252454,0.47831995,0.47757262,False
Mutual Clustering Information,random,TDPR,512,0.50245234,0.5436817,0.47757262,False
Mutual Clustering Information,random,TDPR,4096,0.51137401,0.54309559,0.5436817,True
Mutual Clustering Information,sharing,RPR,64,0.85702133,0.59156955,0.59156955,False
Mutual Clustering Information,sharing,RPR,512,0.75676843,0.80361689,0.59156955,False
Mutual Clustering Information,sharing,RPR,4096,0.83529931,0.80361689,0.80361689,False
Mutual Clustering Information,sharing,TDPR,64,0.57941904,0.50361655,0.4889657,False
Mutual Clustering Information,sharing,TDPR,512,0.70076968,0.58438899,0.49271413,False
Mutual Clustering Information,sharing,TDPR,4096,0.7253681,0.71300752,0.60322108,False
Mutual Clustering Information,tournament,RPR,64,,,,
Mutual Clustering Information,tournament,RPR,512,,,,
Mutual Clustering Information,tournament,RPR,4096,,,,
Mutual Clustering Information,tournament,TDPR,64,,,,
Mutual Clustering Information,tournament,TDPR,512,,,,
Mutual Clustering Information,tournament,TDPR,4096,,,,
