,Column Configuration,Differentia Bit Width,Stratum Retention Policy,Stratum Retention Policy Resolution Parameter,Stratigraphic Column Actual Retained Bits,Stratigraphic Column Target Retained Bits,Stratigraphic Column Retained Bits Error,Stratigraphic Column Actual Num Retained Strata,Taxon Compared From,Taxon Compared To,Generation of Taxon Compared From,Generation of Taxon Compared To,Generation Of MRCA Lower Bound (inclusive),Generation Of MRCA Upper Bound (exclusive),MRCA Bound Confidence,Rank of Earliest Detectable Mrca With
827,actual_bits=576+actual_strata=9+bits_error=-448+differentia=64+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,64,RecencyProportionalResolution,9,576,1024,-448,9,47640,47639,5001,5001,0.0,256.0,1.0,0
828,actual_bits=9+actual_strata=9+bits_error=-55+differentia=1+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=64,1,TaperedDepthProportionalResolution,9,9,64,-55,9,47640,47626,5001,5000,,,0.96875,1536
829,actual_bits=64+actual_strata=8+bits_error=0+differentia=8+policy=TaperedDepthProportionalResolution+resolution=4+target_bits=64,8,TaperedDepthProportionalResolution,4,64,64,0,8,47640,47626,5001,5000,0.0,1024.0,0.99609375,0
830,actual_bits=128+actual_strata=2+bits_error=64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,128,64,64,2,47640,47626,5001,5000,0.0,4096.0,1.0,0
831,actual_bits=9+actual_strata=9+bits_error=-503+differentia=1+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=512,1,TaperedDepthProportionalResolution,9,9,512,-503,9,47640,47626,5001,5000,,,0.96875,1536
832,actual_bits=72+actual_strata=9+bits_error=-440+differentia=8+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=512,8,TaperedDepthProportionalResolution,9,72,512,-440,9,47640,47626,5001,5000,0.0,512.0,0.99609375,0
833,actual_bits=512+actual_strata=8+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=4+target_bits=512,64,TaperedDepthProportionalResolution,4,512,512,0,8,47640,47626,5001,5000,0.0,1024.0,1.0,0
834,actual_bits=9+actual_strata=9+bits_error=-1015+differentia=1+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=1024,1,TaperedDepthProportionalResolution,9,9,1024,-1015,9,47640,47626,5001,5000,,,0.96875,1536
835,actual_bits=72+actual_strata=9+bits_error=-952+differentia=8+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=1024,8,TaperedDepthProportionalResolution,9,72,1024,-952,9,47640,47626,5001,5000,0.0,512.0,0.99609375,0
836,actual_bits=576+actual_strata=9+bits_error=-448+differentia=64+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=1024,64,TaperedDepthProportionalResolution,9,576,1024,-448,9,47640,47626,5001,5000,0.0,512.0,1.0,0
837,actual_bits=9+actual_strata=9+bits_error=-55+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=64,1,RecencyProportionalResolution,9,9,64,-55,9,47640,47626,5001,5000,,,0.96875,1024
838,actual_bits=64+actual_strata=8+bits_error=0+differentia=8+policy=RecencyProportionalResolution+resolution=3+target_bits=64,8,RecencyProportionalResolution,3,64,64,0,8,47640,47626,5001,5000,0.0,1024.0,0.99609375,0
839,actual_bits=128+actual_strata=2+bits_error=64+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,128,64,64,2,47640,47626,5001,5000,0.0,4096.0,1.0,0
840,actual_bits=9+actual_strata=9+bits_error=-503+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=512,1,RecencyProportionalResolution,9,9,512,-503,9,47640,47626,5001,5000,,,0.96875,1024
841,actual_bits=72+actual_strata=9+bits_error=-440+differentia=8+policy=RecencyProportionalResolution+resolution=9+target_bits=512,8,RecencyProportionalResolution,9,72,512,-440,9,47640,47626,5001,5000,0.0,256.0,0.99609375,0
842,actual_bits=512+actual_strata=8+bits_error=0+differentia=64+policy=RecencyProportionalResolution+resolution=3+target_bits=512,64,RecencyProportionalResolution,3,512,512,0,8,47640,47626,5001,5000,0.0,1024.0,1.0,0
843,actual_bits=9+actual_strata=9+bits_error=-1015+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,1,RecencyProportionalResolution,9,9,1024,-1015,9,47640,47626,5001,5000,,,0.96875,1024
844,actual_bits=72+actual_strata=9+bits_error=-952+differentia=8+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,8,RecencyProportionalResolution,9,72,1024,-952,9,47640,47626,5001,5000,0.0,256.0,0.99609375,0
845,actual_bits=576+actual_strata=9+bits_error=-448+differentia=64+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,64,RecencyProportionalResolution,9,576,1024,-448,9,47640,47626,5001,5000,0.0,256.0,1.0,0
