,Column Configuration,Differentia Bit Width,Stratum Retention Policy,Stratum Retention Policy Resolution Parameter,Stratigraphic Column Actual Retained Bits,Stratigraphic Column Target Retained Bits,Stratigraphic Column Retained Bits Error,Stratigraphic Column Actual Num Retained Strata,Taxon Compared From,Taxon Compared To,Generation of Taxon Compared From,Generation of Taxon Compared To,Generation Of MRCA Lower Bound (inclusive),Generation Of MRCA Upper Bound (exclusive),MRCA Bound Confidence,Rank of Earliest Detectable Mrca With
601,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,8,TaperedDepthProportionalResolution,59,472,1024,-552,59,4733,4729,501,501,0.0,8.0,0.99609375,0
602,actual_bits=1024+actual_strata=16+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=8+target_bits=1024,64,TaperedDepthProportionalResolution,8,1024,1024,0,16,4733,4729,501,501,0.0,32.0,1.0,0
603,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=64,1,RecencyProportionalResolution,59,59,64,-5,59,4733,4729,501,501,,,0.96875,28
604,actual_bits=40+actual_strata=5+bits_error=-24+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,40,64,-24,5,4733,4729,501,501,0.0,256.0,0.99609375,0
605,actual_bits=320+actual_strata=5+bits_error=256+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,320,64,256,5,4733,4729,501,501,0.0,256.0,1.0,0
606,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=512,1,RecencyProportionalResolution,59,59,512,-453,59,4733,4729,501,501,,,0.96875,28
607,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=512,8,RecencyProportionalResolution,59,472,512,-40,59,4733,4729,501,501,0.0,8.0,0.99609375,0
608,actual_bits=320+actual_strata=5+bits_error=-192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512,64,RecencyProportionalResolution,0,320,512,-192,5,4733,4729,501,501,0.0,256.0,1.0,0
609,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,1,RecencyProportionalResolution,59,59,1024,-965,59,4733,4729,501,501,,,0.96875,28
610,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,8,RecencyProportionalResolution,59,472,1024,-552,59,4733,4729,501,501,0.0,8.0,0.99609375,0
611,actual_bits=896+actual_strata=14+bits_error=-128+differentia=64+policy=RecencyProportionalResolution+resolution=2+target_bits=1024,64,RecencyProportionalResolution,2,896,1024,-128,14,4733,4729,501,501,0.0,128.0,1.0,0
612,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=64,1,TaperedDepthProportionalResolution,59,59,64,-5,59,4733,4734,501,501,,,0.96875,32
613,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,64,-8,7,4733,4734,501,501,0.0,128.0,0.99609375,0
614,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,64,128,3,4733,4734,501,501,0.0,256.0,1.0,0
615,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,1,TaperedDepthProportionalResolution,59,59,512,-453,59,4733,4734,501,501,,,0.96875,32
616,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,8,TaperedDepthProportionalResolution,59,472,512,-40,59,4733,4734,501,501,0.0,8.0,0.99609375,0
617,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=512,64,TaperedDepthProportionalResolution,3,448,512,-64,7,4733,4734,501,501,0.0,128.0,1.0,0
618,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,1,TaperedDepthProportionalResolution,59,59,1024,-965,59,4733,4734,501,501,,,0.96875,32
619,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,8,TaperedDepthProportionalResolution,59,472,1024,-552,59,4733,4734,501,501,0.0,8.0,0.99609375,0
620,actual_bits=1024+actual_strata=16+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=8+target_bits=1024,64,TaperedDepthProportionalResolution,8,1024,1024,0,16,4733,4734,501,501,0.0,32.0,1.0,0
621,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=64,1,RecencyProportionalResolution,59,59,64,-5,59,4733,4734,501,501,,,0.96875,28
622,actual_bits=40+actual_strata=5+bits_error=-24+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,40,64,-24,5,4733,4734,501,501,0.0,256.0,0.99609375,0
623,actual_bits=320+actual_strata=5+bits_error=256+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,320,64,256,5,4733,4734,501,501,0.0,256.0,1.0,0
624,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=512,1,RecencyProportionalResolution,59,59,512,-453,59,4733,4734,501,501,,,0.96875,28
625,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=512,8,RecencyProportionalResolution,59,472,512,-40,59,4733,4734,501,501,0.0,8.0,0.99609375,0
626,actual_bits=320+actual_strata=5+bits_error=-192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512,64,RecencyProportionalResolution,0,320,512,-192,5,4733,4734,501,501,0.0,256.0,1.0,0
627,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,1,RecencyProportionalResolution,59,59,1024,-965,59,4733,4734,501,501,,,0.96875,28
628,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,8,RecencyProportionalResolution,59,472,1024,-552,59,4733,4734,501,501,0.0,8.0,0.99609375,0
629,actual_bits=896+actual_strata=14+bits_error=-128+differentia=64+policy=RecencyProportionalResolution+resolution=2+target_bits=1024,64,RecencyProportionalResolution,2,896,1024,-128,14,4733,4734,501,501,0.0,128.0,1.0,0
630,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=64,1,TaperedDepthProportionalResolution,59,59,64,-5,59,4733,4731,501,501,,,0.96875,32
631,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,64,-8,7,4733,4731,501,501,0.0,128.0,0.99609375,0
632,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,64,128,3,4733,4731,501,501,0.0,256.0,1.0,0
633,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,1,TaperedDepthProportionalResolution,59,59,512,-453,59,4733,4731,501,501,,,0.96875,32
634,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,8,TaperedDepthProportionalResolution,59,472,512,-40,59,4733,4731,501,501,0.0,8.0,0.99609375,0
635,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=512,64,TaperedDepthProportionalResolution,3,448,512,-64,7,4733,4731,501,501,0.0,128.0,1.0,0
636,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,1,TaperedDepthProportionalResolution,59,59,1024,-965,59,4733,4731,501,501,,,0.96875,32
637,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,8,TaperedDepthProportionalResolution,59,472,1024,-552,59,4733,4731,501,501,0.0,8.0,0.99609375,0
638,actual_bits=1024+actual_strata=16+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=8+target_bits=1024,64,TaperedDepthProportionalResolution,8,1024,1024,0,16,4733,4731,501,501,0.0,32.0,1.0,0
639,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=64,1,RecencyProportionalResolution,59,59,64,-5,59,4733,4731,501,501,,,0.96875,28
640,actual_bits=40+actual_strata=5+bits_error=-24+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,40,64,-24,5,4733,4731,501,501,0.0,256.0,0.99609375,0
641,actual_bits=320+actual_strata=5+bits_error=256+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,320,64,256,5,4733,4731,501,501,0.0,256.0,1.0,0
642,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=512,1,RecencyProportionalResolution,59,59,512,-453,59,4733,4731,501,501,,,0.96875,28
643,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=512,8,RecencyProportionalResolution,59,472,512,-40,59,4733,4731,501,501,0.0,8.0,0.99609375,0
644,actual_bits=320+actual_strata=5+bits_error=-192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512,64,RecencyProportionalResolution,0,320,512,-192,5,4733,4731,501,501,0.0,256.0,1.0,0
645,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,1,RecencyProportionalResolution,59,59,1024,-965,59,4733,4731,501,501,,,0.96875,28
646,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,8,RecencyProportionalResolution,59,472,1024,-552,59,4733,4731,501,501,0.0,8.0,0.99609375,0
647,actual_bits=896+actual_strata=14+bits_error=-128+differentia=64+policy=RecencyProportionalResolution+resolution=2+target_bits=1024,64,RecencyProportionalResolution,2,896,1024,-128,14,4733,4731,501,501,0.0,128.0,1.0,0
648,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=64,1,TaperedDepthProportionalResolution,59,59,64,-5,59,4733,4736,501,501,,,0.96875,32
649,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,64,-8,7,4733,4736,501,501,0.0,128.0,0.99609375,0
650,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,64,128,3,4733,4736,501,501,0.0,256.0,1.0,0
651,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,1,TaperedDepthProportionalResolution,59,59,512,-453,59,4733,4736,501,501,,,0.96875,32
652,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,8,TaperedDepthProportionalResolution,59,472,512,-40,59,4733,4736,501,501,0.0,8.0,0.99609375,0
653,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=512,64,TaperedDepthProportionalResolution,3,448,512,-64,7,4733,4736,501,501,0.0,128.0,1.0,0
654,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,1,TaperedDepthProportionalResolution,59,59,1024,-965,59,4733,4736,501,501,,,0.96875,32
655,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,8,TaperedDepthProportionalResolution,59,472,1024,-552,59,4733,4736,501,501,0.0,8.0,0.99609375,0
656,actual_bits=1024+actual_strata=16+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=8+target_bits=1024,64,TaperedDepthProportionalResolution,8,1024,1024,0,16,4733,4736,501,501,0.0,32.0,1.0,0
657,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=64,1,RecencyProportionalResolution,59,59,64,-5,59,4733,4736,501,501,,,0.96875,28
658,actual_bits=40+actual_strata=5+bits_error=-24+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,40,64,-24,5,4733,4736,501,501,0.0,256.0,0.99609375,0
659,actual_bits=320+actual_strata=5+bits_error=256+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,320,64,256,5,4733,4736,501,501,0.0,256.0,1.0,0
660,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=512,1,RecencyProportionalResolution,59,59,512,-453,59,4733,4736,501,501,,,0.96875,28
661,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=512,8,RecencyProportionalResolution,59,472,512,-40,59,4733,4736,501,501,0.0,8.0,0.99609375,0
662,actual_bits=320+actual_strata=5+bits_error=-192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512,64,RecencyProportionalResolution,0,320,512,-192,5,4733,4736,501,501,0.0,256.0,1.0,0
663,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,1,RecencyProportionalResolution,59,59,1024,-965,59,4733,4736,501,501,,,0.96875,28
664,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,8,RecencyProportionalResolution,59,472,1024,-552,59,4733,4736,501,501,0.0,8.0,0.99609375,0
665,actual_bits=896+actual_strata=14+bits_error=-128+differentia=64+policy=RecencyProportionalResolution+resolution=2+target_bits=1024,64,RecencyProportionalResolution,2,896,1024,-128,14,4733,4736,501,501,0.0,128.0,1.0,0
666,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=64,1,TaperedDepthProportionalResolution,59,59,64,-5,59,4733,4690,501,497,,,0.96875,32
667,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,64,-8,7,4733,4690,501,497,0.0,128.0,0.99609375,0
668,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,64,128,3,4733,4690,501,497,0.0,256.0,1.0,0
669,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,1,TaperedDepthProportionalResolution,59,59,512,-453,59,4733,4690,501,497,,,0.96875,32
670,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,8,TaperedDepthProportionalResolution,59,472,512,-40,59,4733,4690,501,497,0.0,8.0,0.99609375,0
671,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=512,64,TaperedDepthProportionalResolution,3,448,512,-64,7,4733,4690,501,497,0.0,128.0,1.0,0
672,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,1,TaperedDepthProportionalResolution,59,59,1024,-965,59,4733,4690,501,497,,,0.96875,32
673,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,8,TaperedDepthProportionalResolution,59,472,1024,-552,59,4733,4690,501,497,0.0,8.0,0.99609375,0
674,actual_bits=1024+actual_strata=16+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=8+target_bits=1024,64,TaperedDepthProportionalResolution,8,1024,1024,0,16,4733,4690,501,497,0.0,32.0,1.0,0
675,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=64,1,RecencyProportionalResolution,59,59,64,-5,59,4733,4690,501,497,,,0.96875,28
676,actual_bits=40+actual_strata=5+bits_error=-24+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,40,64,-24,5,4733,4690,501,497,0.0,256.0,0.99609375,0
677,actual_bits=320+actual_strata=5+bits_error=256+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,320,64,256,5,4733,4690,501,497,0.0,256.0,1.0,0
678,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=512,1,RecencyProportionalResolution,59,59,512,-453,59,4733,4690,501,497,,,0.96875,28
679,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=512,8,RecencyProportionalResolution,59,472,512,-40,59,4733,4690,501,497,0.0,8.0,0.99609375,0
680,actual_bits=320+actual_strata=5+bits_error=-192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512,64,RecencyProportionalResolution,0,320,512,-192,5,4733,4690,501,497,0.0,256.0,1.0,0
681,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,1,RecencyProportionalResolution,59,59,1024,-965,59,4733,4690,501,497,,,0.96875,28
682,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,8,RecencyProportionalResolution,59,472,1024,-552,59,4733,4690,501,497,0.0,8.0,0.99609375,0
683,actual_bits=896+actual_strata=14+bits_error=-128+differentia=64+policy=RecencyProportionalResolution+resolution=2+target_bits=1024,64,RecencyProportionalResolution,2,896,1024,-128,14,4733,4690,501,497,0.0,128.0,1.0,0
684,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=64,1,TaperedDepthProportionalResolution,59,59,64,-5,59,4733,4694,501,497,,,0.96875,32
685,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,64,-8,7,4733,4694,501,497,0.0,128.0,0.99609375,0
686,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,64,128,3,4733,4694,501,497,0.0,256.0,1.0,0
687,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,1,TaperedDepthProportionalResolution,59,59,512,-453,59,4733,4694,501,497,,,0.96875,32
688,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,8,TaperedDepthProportionalResolution,59,472,512,-40,59,4733,4694,501,497,0.0,8.0,0.99609375,0
689,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=512,64,TaperedDepthProportionalResolution,3,448,512,-64,7,4733,4694,501,497,0.0,128.0,1.0,0
690,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,1,TaperedDepthProportionalResolution,59,59,1024,-965,59,4733,4694,501,497,,,0.96875,32
691,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,8,TaperedDepthProportionalResolution,59,472,1024,-552,59,4733,4694,501,497,0.0,8.0,0.99609375,0
692,actual_bits=1024+actual_strata=16+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=8+target_bits=1024,64,TaperedDepthProportionalResolution,8,1024,1024,0,16,4733,4694,501,497,0.0,32.0,1.0,0
693,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=64,1,RecencyProportionalResolution,59,59,64,-5,59,4733,4694,501,497,,,0.96875,28
694,actual_bits=40+actual_strata=5+bits_error=-24+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,40,64,-24,5,4733,4694,501,497,0.0,256.0,0.99609375,0
695,actual_bits=320+actual_strata=5+bits_error=256+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,320,64,256,5,4733,4694,501,497,0.0,256.0,1.0,0
696,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=512,1,RecencyProportionalResolution,59,59,512,-453,59,4733,4694,501,497,,,0.96875,28
697,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=512,8,RecencyProportionalResolution,59,472,512,-40,59,4733,4694,501,497,0.0,8.0,0.99609375,0
698,actual_bits=320+actual_strata=5+bits_error=-192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512,64,RecencyProportionalResolution,0,320,512,-192,5,4733,4694,501,497,0.0,256.0,1.0,0
699,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,1,RecencyProportionalResolution,59,59,1024,-965,59,4733,4694,501,497,,,0.96875,28
700,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,8,RecencyProportionalResolution,59,472,1024,-552,59,4733,4694,501,497,0.0,8.0,0.99609375,0
701,actual_bits=896+actual_strata=14+bits_error=-128+differentia=64+policy=RecencyProportionalResolution+resolution=2+target_bits=1024,64,RecencyProportionalResolution,2,896,1024,-128,14,4733,4694,501,497,0.0,128.0,1.0,0
702,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=64,1,TaperedDepthProportionalResolution,59,59,64,-5,59,4733,4739,501,501,,,0.96875,32
703,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,64,-8,7,4733,4739,501,501,0.0,128.0,0.99609375,0
704,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,64,128,3,4733,4739,501,501,0.0,256.0,1.0,0
705,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,1,TaperedDepthProportionalResolution,59,59,512,-453,59,4733,4739,501,501,,,0.96875,32
706,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,8,TaperedDepthProportionalResolution,59,472,512,-40,59,4733,4739,501,501,0.0,8.0,0.99609375,0
707,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=512,64,TaperedDepthProportionalResolution,3,448,512,-64,7,4733,4739,501,501,0.0,128.0,1.0,0
708,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,1,TaperedDepthProportionalResolution,59,59,1024,-965,59,4733,4739,501,501,,,0.96875,32
709,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,8,TaperedDepthProportionalResolution,59,472,1024,-552,59,4733,4739,501,501,0.0,8.0,0.99609375,0
710,actual_bits=1024+actual_strata=16+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=8+target_bits=1024,64,TaperedDepthProportionalResolution,8,1024,1024,0,16,4733,4739,501,501,0.0,32.0,1.0,0
711,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=64,1,RecencyProportionalResolution,59,59,64,-5,59,4733,4739,501,501,,,0.96875,28
712,actual_bits=40+actual_strata=5+bits_error=-24+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,40,64,-24,5,4733,4739,501,501,0.0,256.0,0.99609375,0
713,actual_bits=320+actual_strata=5+bits_error=256+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,320,64,256,5,4733,4739,501,501,0.0,256.0,1.0,0
714,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=512,1,RecencyProportionalResolution,59,59,512,-453,59,4733,4739,501,501,,,0.96875,28
715,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=512,8,RecencyProportionalResolution,59,472,512,-40,59,4733,4739,501,501,0.0,8.0,0.99609375,0
716,actual_bits=320+actual_strata=5+bits_error=-192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512,64,RecencyProportionalResolution,0,320,512,-192,5,4733,4739,501,501,0.0,256.0,1.0,0
717,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,1,RecencyProportionalResolution,59,59,1024,-965,59,4733,4739,501,501,,,0.96875,28
718,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,8,RecencyProportionalResolution,59,472,1024,-552,59,4733,4739,501,501,0.0,8.0,0.99609375,0
719,actual_bits=896+actual_strata=14+bits_error=-128+differentia=64+policy=RecencyProportionalResolution+resolution=2+target_bits=1024,64,RecencyProportionalResolution,2,896,1024,-128,14,4733,4739,501,501,0.0,128.0,1.0,0
720,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=64,1,TaperedDepthProportionalResolution,59,59,64,-5,59,4733,4721,501,499,,,0.96875,32
721,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,64,-8,7,4733,4721,501,499,0.0,128.0,0.99609375,0
722,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,64,128,3,4733,4721,501,499,0.0,256.0,1.0,0
723,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,1,TaperedDepthProportionalResolution,59,59,512,-453,59,4733,4721,501,499,,,0.96875,32
